className,totalReviewedCommits,normalizedCommitExp,gold
nu,63157,49.96598101265823,0.0
nu,63090,49.91297468354431,0.0
nu,63090,49.91297468354431,0.0
nu,63088,49.911392405063296,0.0
nu,63068,49.89556962025317,0.0
nu,63068,49.89556962025317,0.0
nu,67035,53.03401898734177,0.0
nu,63244,50.03481012658227,1.0
nu,63244,50.03481012658227,0.0
nu,63044,49.87658227848101,1.0
nu,63232,50.0253164556962,0.0
nu,63040,49.87341772151899,0.0
nu,63024,49.86075949367088,1.0
nu,63024,49.86075949367088,0.0
nu,63024,49.86075949367088,0.0
nu,63014,49.85284810126582,0.0
nu,62992,49.83544303797469,1.0
nu,62992,49.83544303797469,1.0
nu,62992,49.83544303797469,1.0
nu,62992,49.83544303797469,0.0
nu,62992,49.83544303797469,1.0
nu,62992,49.83544303797469,1.0
nu,62991,49.83465189873418,0.0
nu,62987,49.83148734177215,0.0
nu,62987,49.83148734177215,0.0
nu,62987,49.83148734177215,0.0
nu,62987,49.83148734177215,0.0
nu,62987,49.83148734177215,1.0
nu,62942,49.79588607594937,-1.0
nu,62942,49.79588607594937,0.0
nu,62942,49.79588607594937,0.0
nu,62942,49.79588607594937,0.0
nu,62942,49.79588607594937,0.0
nu,62917,49.77610759493671,1.0
nu,62916,49.7753164556962,0.0
nu,62916,49.7753164556962,0.0
nu,62916,49.7753164556962,0.0
nu,62916,49.7753164556962,1.0
nu,62916,49.7753164556962,0.0
nu,62916,49.7753164556962,0.0
nu,62908,49.76898734177215,0.0
nu,62908,49.76898734177215,1.0
nu,5799,81.13893941513922,0.0
nu,5799,81.13893941513922,0.0
nu,5805,81.22289072338043,0.0
nu,5805,81.22289072338043,0.0
nu,5805,81.22289072338043,0.0
nu,5799,81.13893941513922,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,5753,80.4953127186232,0.0
nu,0,0.0,1.0
nu,5753,80.4953127186232,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,5710,79.8936616762278,0.0
nu,5710,79.8936616762278,0.0
nu,5692,79.64180775150412,0.0
nu,5692,79.64180775150412,0.0
nu,5692,79.64180775150412,0.0
nu,5692,79.64180775150412,0.0
nu,0,0.0,1.0
nu,5644,78.97019728557436,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,5595,78.28459493493773,0.0
nu,5595,78.28459493493773,0.0
nu,5607,78.45249755142018,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,5491,76.82943892542326,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,4999,69.94543164964321,0.0
nu,0,0.0,0.0
nu,4812,67.32894920945851,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,4722,66.06967958584022,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,4561,63.81698614803414,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,0,0.0,0.0
nu,0,0.0,1.0
nu,10307,26.57744771924396,0.0
nu,0,0.0,1.0
nu,10307,26.57744771924396,0.0
nu,10307,26.57744771924396,0.0
nu,10414,26.853356024857533,0.0
nu,10305,26.57229055465305,0.0
nu,0,0.0,0.0
nu,10305,26.57229055465305,0.0
nu,0,0.0,0.0
nu,10301,26.561976225471238,0.0
nu,10301,26.561976225471238,0.0
nu,10301,26.561976225471238,0.0
nu,10301,26.561976225471238,0.0
nu,10300,26.55939764317578,0.0
nu,10546,27.193728887857453,0.0
nu,10546,27.193728887857453,0.0
nu,10300,26.55939764317578,0.0
nu,10300,26.55939764317578,1.0
nu,10300,26.55939764317578,0.0
nu,10210,26.32732523658493,0.0
nu,10210,26.32732523658493,0.0
nu,10200,26.301539413630387,1.0
nu,10200,26.301539413630387,0.0
nu,0,0.0,1.0
nu,10116,26.084938500812253,1.0
nu,10082,25.99726670276682,0.0
nu,10082,25.99726670276682,0.0
nu,10071,25.968902297516827,0.0
nu,10071,25.968902297516827,1.0
nu,10193,26.28348933756221,0.0
nu,0,0.0,0.0
nu,0,0.0,0.0
nu,9906,25.543436218766924,1.0
nu,9906,25.543436218766924,1.0
nu,9906,25.543436218766924,0.0
nu,9625,24.81885459374436,1.0
nu,9522,24.553260617312603,1.0
nu,9540,24.59967509863077,0.0
nu,9540,24.59967509863077,0.0
nu,0,0.0,1.0
nu,0,0.0,1.0
nu,9391,24.21546633660813,0.0
nu,9255,23.8647791444264,0.0
nu,0,0.0,0.0
nu,9255,23.8647791444264,1.0
nu,9255,23.8647791444264,0.0
nu,0,0.0,0.0
nu,9146,23.58371367422191,1.0
nu,0,0.0,1.0
nu,9078,23.408370078131043,0.0
nu,9078,23.408370078131043,0.0
nu,0,0.0,0.0
nu,9078,23.408370078131043,1.0
nu,9371,24.163894690699053,0.0
nu,9371,24.163894690699053,1.0
nu,9078,23.408370078131043,1.0
nu,9371,24.163894690699053,0.0
nu,9078,23.408370078131043,0.0
nu,9078,23.408370078131043,0.0
nu,9078,23.408370078131043,1.0
nu,9074,23.39805574894923,0.0
nu,0,0.0,1.0
nu,8990,23.181454836131092,0.0
nu,8990,23.181454836131092,1.0
nu,11270,29.060622469766123,0.0
nu,11270,29.060622469766123,1.0
nu,0,0.0,1.0
nu,16576,46.54872226902555,1.0
nu,15336,43.06655433866891,-1.0
nu,15336,43.06655433866891,1.0
nu,15336,43.06655433866891,0.0
nu,15303,42.973883740522325,0.0
nu,0,0.0,1.0
nu,15299,42.96265094074698,1.0
nu,0,0.0,1.0
nu,15299,42.96265094074698,0.0
nu,15299,42.96265094074698,0.0
nu,15299,42.96265094074698,1.0
nu,0,0.0,1.0
nu,15290,42.93737714125246,1.0
nu,15290,42.93737714125246,0.0
nu,15290,42.93737714125246,0.0
nu,15290,42.93737714125246,1.0
nu,15290,42.93737714125246,0.0
nu,15290,42.93737714125246,0.0
nu,15290,42.93737714125246,0.0
nu,15290,42.93737714125246,1.0
nu,15287,42.92895254142095,1.0
nu,15470,43.44285313114294,1.0
nu,15470,43.44285313114294,0.0
nu,16504,46.34653187306937,1.0
