c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
746951133-80617-nu,nu,66.4,66.4,0.2,1.0,0.4,0.4,0.0,0,0,201,1,29,63157,26241,0.0,0.0,0.0
745724524-80532-nu,nu,80.67772727,79.41871795,0.028169014,0.333333333,0.563380282,0.577464789,0.0,4,1,1366,0,0,63090,26191,0.618474161,0.0,0.0
964379163-80531-nu,nu,72.37931034,72.37931034,0.034482759,0.0,0.379310345,0.379310345,0.0,0,0,972,0,0,63090,26191,0.0,1.0,0.0
745917935-80524-nu,nu,93.475,93.475,0.024390244,0.5,0.585365854,0.585365854,0.0,1,1,1,1,21,63088,26189,0.0,0.0,0.0
745318688-80493-nu,nu,70.70571429,70.70571429,0.02173913,0.5,0.652173913,0.652173913,0.0,0,0,61,1,11,63068,26174,0.0,0.0,0.0
746332328-80493-nu,nu,74.67928571,75.80634538,0.021052632,0.0,0.589473684,0.589473684,0.0,0,0,61,1,11,63068,26174,0.0,0.0,0.0
744535214-80475-nu,nu,43.93,57.92243902,0.166666667,0.0,0.518518519,0.592592593,0.0,2,1,220,1,9,67035,26767,0.0,0.0,0.0
802652963-80462-nu,nu,100.0,100.0,0.166666667,0.0,0.166666667,0.166666667,0.0,0,0,1,0,0,63244,26196,0.0,1.0,1.0
744784193-80462-nu,nu,98.49736842,98.49736842,0.015873016,0.666666667,0.571428571,0.571428571,0.192550387,0,0,1,1,12,63244,26196,0.0,0.0,0.0
800190628-80450-nu,nu,100.0,100.0,0.142857143,0.0,0.428571429,0.428571429,0.0,0,0,0,0,0,63044,26154,0.0,1.0,1.0
963216805-80450-nu,nu,94.04473684,94.04473684,0.045454545,1.0,0.5,0.5,0.0,0,0,1,0,0,63232,26186,0.0,0.0,0.0
744519427-80439-nu,nu,100.0,100.0,0.076923077,1.0,0.538461538,0.538461538,0.136438046,0,0,445,0,0,63040,26150,0.819361909,0.0,0.0
800067654-80406-nu,nu,100.0,100.0,0.076923077,0.0,0.461538462,0.461538462,0.0,0,0,5088,0,0,63024,26139,0.0,1.0,1.0
744686771-80406-nu,nu,50.86831081,68.21535714,0.069767442,0.5,0.534883721,0.534883721,0.182755556,0,0,5088,1,1,63024,26139,0.0,0.0,0.0
745489828-80406-nu,nu,36.46285714,67.32894737,0.125,0.0,0.5,0.5,0.221040344,0,0,5088,1,1,63024,26139,0.0,0.0,0.0
743420512-80389-nu,nu,100.0,100.0,0.0,0.5,0.3,0.3,0.020134682,0,0,364,1,2,63014,26131,0.0,0.0,0.0
