,c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
8,745920285-80524-u,u,56.97846154,56.97846154,0.076923077,0.0,0.692307692,0.692307692,0.127656948,1,1,1,1,57,63088,26189,0.0,0.0,-1.0
10,746339379-80493-u,u,74.97506579,77.6825,0.018867925,0.0,0.622641509,0.650943396,0.0,0,0,61,1,11,63068,26174,0.0,0.0,-1.0
12,744605937-80475-u,u,85.07411765,92.91,0.170731707,0.5,0.512195122,0.512195122,0.0,2,1,220,1,9,67035,26767,0.0,1.0,1.0
15,743952365-80450-u,u,74.59,74.59,0.013157895,0.75,0.539473684,0.552631579,0.189099789,0,0,1,1,12,63232,26186,0.5140989,0.0,-1.0
19,744584386-80439-u,u,78.755,78.755,0.018867925,0.0,0.358490566,0.358490566,0.137153961,0,0,972,0,0,63040,26150,0.822905818,-1.0,-1.0
26,743699350-80378-u,u,100.0,100.0,0.615384615,0.0,0.307692308,0.307692308,0.154746115,1,1,3713,0,0,62992,26124,0.0,1.0,1.0
30,744706826-80378-u,u,69.56013158,78.248,0.194444444,0.0,0.416666667,0.430555556,0.145432432,0,0,363,0,0,62992,26124,0.0,1.0,1.0
35,744706826-80378-u,u,69.56013158,78.248,0.194444444,0.0,0.416666667,0.430555556,0.145432432,0,0,363,0,0,62992,26124,0.0,1.0,1.0
37,745784982-80378-u,u,100.0,100.0,0.020408163,0.0,0.612244898,0.632653061,0.045931521,0,0,67,0,0,62992,26124,0.0,-1.0,-1.0
56,742082585-80282-u,u,86.26022727,94.35866525,0.157894737,0.0,0.421052632,0.421052632,0.053293871,2,1,1204,1,1,62916,26078,0.0,-1.0,-1.0
59,743616657-80253-u,u,74.52166667,74.52166667,0.055555556,0.666666667,0.5,0.5,0.0,1,1,201,0,0,62900,26064,0.0,0.0,-1.0
70,711682484-15356-u,u,91.29470588,91.29470588,0.013513514,0.0,0.554054054,0.621621622,0.137158517,12,1,283,1,14,5755,3518,0.0,-1.0,-1.0
78,711765261-15356-u,u,69.99384615,69.99384615,0.076923077,0.0,0.461538462,0.461538462,0.23671361,6,1,283,0,0,5755,3518,0.0,0.0,1.0
89,701341799-15288-u,u,93.605,85.07411765,0.073170732,0.0,0.463414634,0.463414634,0.470201629,14,1,283,1,2,5736,3495,0.0,1.0,1.0
91,702330901-15286-u,u,100.0,100.0,0.292682927,0.0,0.487804878,0.487804878,0.0,16,1,580,1,16,5735,3494,0.0,0.0,1.0
104,683338945-15075-u,u,100.0,100.0,0.076923077,0.0,0.435897436,0.435897436,0.182876712,12,1,580,1,6,5650,3398,0.0,0.0,1.0
120,721656755-14935-u,u,89.2435,88.905,0.095238095,0.0,0.428571429,0.464285714,0.082008037,0,0,94,1,7,5607,3338,0.0,0.0,-1.0
127,668400781-14905-u,u,61.4,20.49,0.695652174,0.0,0.260869565,0.260869565,0.382026529,224,1,580,1,140,5582,3323,0.0,-1.0,-1.0
128,660024790-14817-u,u,100.0,100.0,0.058823529,0.0,0.470588235,0.470588235,0.188679245,204,1,580,1,174,5542,3278,0.0,0.0,-1.0
145,265716154-13138-u,u,100.0,100.0,0.047619048,0.0,0.380952381,0.428571429,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
146,306565339-13138-u,u,95.58637097,95.58637097,0.029411765,0.0,0.5,0.5,0.164951809,222,1,580,1,132,4888,2885,0.0,-1.0,-1.0
165,265832050-12406-u,u,100.0,100.0,0.111111111,0.5,0.333333333,0.333333333,0.091287093,6,1,152,1,171,4740,2868,0.0,1.0,1.0
166,265838069-12336-u,u,100.0,85.88886364,0.333333333,0.5,0.285714286,0.285714286,0.184545511,108,1,152,1,77,4722,2861,0.0,1.0,1.0
181,723645914-11681-u,u,73.845,73.845,0.055555556,0.0,0.333333333,0.333333333,0.0,6,1,6,1,2,10592,2191,0.0,0.0,-1.0
185,721410211-11672-u,u,84.9,84.9,0.1,0.0,0.4,0.4,0.188982237,0,0,2,0,0,10307,2165,0.0,-1.0,-1.0
191,713348869-11638-u,u,91.53347826,91.53347826,0.04,0.0,0.68,0.68,0.193649167,36,1,8,1,29,10307,2165,0.0,1.0,1.0
202,733394841-11588-u,u,85.13947368,85.13947368,0.025,0.0,0.45,0.45,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
203,688567330-11585-u,u,100.0,100.0,0.066666667,0.0,0.733333333,0.733333333,0.051224083,0,0,2,0,0,10300,2160,0.0,0.0,1.0
211,665600264-11506-u,u,82.39,82.39,0.125,0.0,0.5,0.5,0.166174036,1,1,2,1,62,10200,2148,0.087705802,0.0,-1.0
213,665601238-11506-u,u,68.74642857,80.3325,0.064516129,0.0,0.483870968,0.483870968,0.237693914,1,1,2,1,62,10200,2148,0.087705802,1.0,1.0
222,608077287-11374-u,u,92.91785714,92.91785714,0.032258065,0.0,0.677419355,0.677419355,0.207599718,0,0,1,1,26,9914,2120,0.0,-1.0,-1.0
223,618725503-11374-u,u,80.59263514,80.59263514,0.025641026,0.0,0.641025641,0.666666667,0.271363859,2,1,8,1,21,9906,2118,0.0,1.0,1.0
232,450709550-11118-u,u,100.0,100.0,0.071428571,0.0,0.214285714,0.214285714,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
245,383255453-10932-u,u,61.665,61.665,0.052631579,0.0,0.526315789,0.631578947,0.133695347,0,0,16,1,1,8987,2040,0.0,-1.0,-1.0
252,943736910-20115-u,u,100.0,100.0,0.058823529,0.0,0.647058824,0.647058824,0.0,0,0,7,0,0,15366,6598,0.0,0.0,1.0
261,931337151-20004-u,u,100.0,100.0,0.058823529,0.5,0.411764706,0.411764706,0.0,0,0,0,0,0,15303,6560,0.0,1.0,1.0
264,718752712-19997-u,u,100.0,100.0,0.21875,0.0,0.40625,0.40625,0.0,0,0,1712,1,3,15298,6558,0.0,1.0,1.0
276,714360584-19925-u,u,94.04473684,95.42,0.181818182,0.0,0.363636364,0.363636364,0.072739297,86,1,1712,1,204,15250,6527,0.0,1.0,1.0
283,714830555-19921-u,u,81.01157143,81.76977778,0.041666667,0.0,0.416666667,0.427083333,0.090100247,0,0,249,1,5,15250,6527,0.0,-1.0,-1.0
284,714837019-19921-u,u,92.81567308,98.18958333,0.25,0.666666667,0.416666667,0.458333333,0.142433862,1,1,1712,1,5,15250,6527,0.0,-1.0,-1.0
285,713482808-19920-u,u,70.46166667,70.46166667,0.0,0.333333333,0.457142857,0.457142857,0.0,0,0,1712,1,1,15250,6527,0.0,-1.0,-1.0
288,713113087-19911-u,u,99.3697619,99.3697619,0.0625,0.0,0.375,0.375,0.0,0,0,249,0,0,15244,6522,0.0,-1.0,-1.0
301,708437326-19869-u,u,92.86583333,92.77076923,0.066666667,0.0,0.633333333,0.633333333,0.098028616,30,1,7,1,26,15231,6510,0.0,1.0,1.0
313,749720331-19814-u,u,88.56306452,93.1546747,0.333333333,0.0,0.462121212,0.462121212,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
318,908235930-19781-u,u,71.62625,74.805,0.3,0.0,0.4,0.4,0.0,0,0,0,0,0,14896,6479,0.0,1.0,1.0
324,693483019-19686-u,u,88.49293478,88.49293478,0.038461538,0.0,0.423076923,0.423076923,0.19668624,0,0,1,1,6,14738,6446,0.0,-1.0,-1.0
330,686719136-19645-u,u,78.755,80.77714286,0.06,0.0,0.42,0.44,0.0,1,1,140,1,16,15916,6623,0.0,0.0,-1.0
340,693525373-19618-u,u,90.05058824,91.84442177,0.053571429,0.0,0.589285714,0.589285714,0.174843509,62,1,7,1,179,14690,6416,0.0,0.0,1.0
352,681206370-19600-u,u,100.0,100.0,0.04,0.0,0.52,0.52,0.0,24,1,7,1,15,14683,6412,0.0,-1.0,1.0
354,892064669-19599-u,u,52.868,52.868,0.035714286,0.0,0.714285714,0.75,0.0,0,0,1712,0,0,14683,6412,0.0,0.0,-1.0
355,682582324-19598-u,u,100.0,100.0,0.052631579,0.0,0.421052632,0.421052632,0.154804706,7,1,140,1,193,15893,6611,0.0,0.0,1.0
357,683306830-19598-u,u,100.0,100.0,0.2,0.0,0.6,0.6,0.0,21,1,1288,1,177,14683,6412,0.0,-1.0,-1.0
384,295392356-5560-u,u,87.40607143,87.40607143,0.045454545,0.0,0.545454545,0.545454545,0.24797797,0,0,799,1,29,4187,1032,0.703526471,0.0,-1.0
400,283068965-5540-u,u,100.0,100.0,0.071428571,0.0,0.642857143,0.642857143,0.137242259,3,1,799,1,73,4161,1028,0.0,1.0,1.0
404,278763890-5530-u,u,100.0,100.0,0.125,0.5,0.25,0.25,0.0,0,0,799,1,1,4147,1023,0.603022689,1.0,1.0
430,253680992-5474-u,u,57.16602151,79.0915,0.342105263,0.0,0.421052632,0.421052632,0.094870049,0,0,799,1,5,3973,1003,0.754336509,0.0,-1.0
497,87315273-5003-u,u,100.0,100.0,0.1,1.0,0.5,0.5,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0
514,640854933-2133-u,u,70.8,72.83,0.28,0.0,0.32,0.32,0.097796741,2,1,124,1,4,1094,741,0.252629674,1.0,1.0
515,640854933-2124-u,u,70.8,72.83,0.28,0.0,0.32,0.32,0.0,2,1,124,0,0,1086,737,0.252629674,1.0,1.0
518,630563788-2122-u,u,100.0,100.0,0.1,0.5,0.5,0.5,0.0,5,1,124,1,8,1084,736,0.0,1.0,1.0
519,630567718-2122-u,u,93.475,93.475,0.02173913,0.333333333,0.47826087,0.5,0.176117488,5,1,124,1,8,1084,736,0.0,0.0,1.0
521,630616993-2122-u,u,95.86875,100.0,0.736842105,0.5,0.315789474,0.368421053,0.183493961,10,1,124,1,6,1084,736,0.0,1.0,1.0
526,549879651-2044-u,u,96.741875,96.741875,0.014084507,0.5,0.408450704,0.408450704,0.113930384,1,1,124,1,5,1033,703,0.0,1.0,1.0
527,549879651-2044-u,u,92.88739754,92.88739754,0.014084507,0.5,0.408450704,0.408450704,0.113930384,1,1,124,1,5,1033,703,0.0,1.0,1.0
528,546391533-2014-u,u,80.3325,80.3325,0.034482759,0.0,0.517241379,0.517241379,0.0,0,0,124,0,0,1013,688,0.773986812,1.0,1.0
539,498397852-1948-u,u,61.25159091,61.25159091,0.008474576,0.0,0.449152542,0.449152542,0.0,3,1,124,0,0,974,658,0.741998516,0.0,1.0
545,490412374-1931-u,u,99.395,99.395,0.045454545,0.0,0.318181818,0.318181818,0.0,8,1,124,1,1,957,646,0.572637127,-1.0,-1.0
552,447317270-1882-u,u,54.09666667,82.82961538,0.064516129,0.0,0.451612903,0.483870968,0.0,0,0,124,0,0,923,633,0.920136611,0.0,-1.0
562,446706398-1878-u,u,82.42535714,82.42535714,0.125,0.5,0.125,0.125,0.0,0,0,76,0,0,643,506,0.241472644,-1.0,-1.0
563,443831690-1877-u,u,35.945,66.1,0.153846154,0.0,0.384615385,0.384615385,0.0,2,1,124,0,0,907,630,0.700706822,0.0,1.0
598,417021642-1808-u,u,66.15,100.0,0.9,0.0,0.5,0.5,0.0,2,1,76,1,2,600,476,0.0,0.0,1.0
612,580890912-1734-u,u,34.23625,81.42308824,0.289156627,0.0,0.301204819,0.313253012,0.0,0,0,124,0,0,789,564,0.0,1.0,1.0
614,371042447-1732-u,u,37.2575,69.99384615,0.2,0.0,0.25,0.3,0.0,0,0,76,0,0,592,468,0.0,-1.0,-1.0
617,372220186-1732-u,u,85.62982143,90.50875,0.054545455,0.0,0.509090909,0.527272727,0.0,0,0,4,0,0,592,468,0.0,0.0,1.0
647,347116788-1622-u,u,100.0,100.0,0.523809524,0.0,0.0,0.095238095,0.0,0,0,76,0,0,552,428,0.514782494,0.0,1.0
648,343837175-1611-u,u,80.09764706,84.845,0.086956522,0.0,0.434782609,0.434782609,0.082572282,1,1,76,1,24,546,422,0.0,0.0,1.0
655,328367764-1589-u,u,98.30761905,98.30761905,0.023809524,0.333333333,0.476190476,0.476190476,0.0,8,1,124,1,1,685,493,0.0,1.0,1.0
