746070913-15604-u	"Note that to avoid dividing by zero, a small epsilon value is added to the denominator."
725536873-15459-u	Is there a way to factor this code so as not to modify / nest the entire logic? Something like    ```  if show_trainable:     some_list.append(...)  ```    Basically you want to append to `positions`, `to_display`, `fields`. You should typically not modify more than a handful of lines to achieve it.
720878013-15447-u	Avoid putting -> Don't put (this is imperative)    Add parens: `preprocess_input()`
720878083-15447-u	Mention `Rescaling(1. / 255.)` since typically this is the only layer needed
710444117-15356-u	Is there any usage of negative number for this method (eg -1 for unknown shape). If all the intended use case for this method is for positive int, then let's just update this method instead. 
711216326-15356-u	kernel_size should always be positive. dilation_rate is always positive too. For stride, I think it should be positive and non-zero as well (0 mean the window doesn't even move?). Padding is not validated by this function (checked by normalize_padding() instead).    With that, I think let's just update the existing normalize_tuple with an positive number check instead.
711216703-15356-u	Please find all the negative values, rather than just the first one.
711216892-15356-u	Please check the content of the error message as well.
711636084-15356-u	Please change the cmp to validation_fn, and the function should return False for illegal inputs.    The lambda function above should also be changed to lambda x: x > 0 instead, which is more readable (not using negation).
711682484-15356-u	Now both the method signature and the caller are quite weird now.     Seems that there are only true use case, and majority of them are strict positive. I don't think there will be any new use case, eg different lambda. So let's just add a kwarg for allow_zero and default to False, which will allow the caller side to skip all the labmdas and msgs.
711636107-15356-u	please update this accordingly.
711636449-15356-u	When user getting this error message, it is unclear to them what is the actual requirement for a valid param (eg it need to be positive or non-negative). The lambda approach makes it hard for showing the actual requirement.
711682787-15356-u	errr, this method has way too many param now.
711763992-15356-u	non-negative integer or integers into an integer tuple.
711764221-15356-u	Default to False. A ValueError will raised if zero is received and this param is False.
711764458-15356-u	err, shouldn't this just be [v for v in value_tuple if v >= 0]. Using list() filter() and lambda make this quite hard to read.
711764516-15356-u	Add space between >= and 0
711765261-15356-u	Please use assertRaisesRegex to check the error type and message at same time.
711765421-15356-u	Let's put a quote around the {req_msg}
711765540-15356-u	Please also verify that -1 is included in the error message.
711870100-15356-u	Since user only provide one -4 as the input, we probably should use set() rather than list for the unqualified_values in the code.
708804465-15355-u	To avoid spilling on the left side, use string concatenation like this:    ```  reference_str = ('Model: "model_2"'                   '_________________________________________________________________'                   ' Layer (type)                Output Shape              Param #   '                   ...  )  ```
709620975-15355-u	Please add one more space indent to match the indent above
709294783-15342-u	typo: `accurancy` => `accuracy`, `accurancy_1` => `accuracy_1`
709375148-15342-u	Could u add another model.eval below this line, and make sure the output are the same as the first model.eval()?    This will make sure we don't include the any result from model.test_on_batch().
703821555-15326-u	Presumably this should be    ```  if ((inputs.shape[2] is not None and sum(self.cropping[0]) >= inputs.shape[2]) or      (inputs.shape[3] is not None and sum(self.cropping[1]) >= inputs.shape[3]))):  ```
706404061-15326-u	"Argument `cropping`" (with backticks)     "of Cropping layer" is not necessary, the traceback will show the origin
703817069-15315-u	Missing a space here at the end. Also always prefer spaces at the end rather than at the beginning of each string.
701341799-15288-u	Sure. How about just remove the smaller/larger here since it is really depending the m_mul value here. "`m_mul` times initial learning rate" as the new learning rate seems reasonable to me as well.
700397713-15286-u	Likewise indent should be 4. You can shorten the line by using a f-string instead of `%`
702330901-15286-u	Agreed that it does not look very readable. Please go with the option you think works best.    To put a string across two lines, prefer doing    ```  st = ('first part'        'second part')  ```
696824586-15251-u	You should use `if isinstance(layer, Model) and layer.layers:`
696824818-15251-u	Always use lines shorter than 80 chars
697595073-15251-u	Make sure to respect style conventions, e.g. no spaces around `=`. Please use a style linter.
694718764-15200-u	prefer `or self.monitor == 'auc'` to avoid potential collisions
695600697-15200-u	Then use `endswith`. Otherwise unrelated metrics that have the substring "auc" will get caught.
695998067-15200-u	I would say '_acc' and '_auc' to further reduce chances of accidental name clash. 
697045067-15200-u	There are various possible names for accuracy, including `acc` itself. But we could use `self.monitor.endswith('acc') or self.monitor.endswith('accuracy')`
691746930-15195-u	Add period at the end of the sentence
689125589-15158-u	"When `padding="same"` and `strides=1`, the output has the same size as the input."
690842330-15158-u	Use backticks around codde keywords
687071840-15133-u	This is the bazel test target name which can be different from the test file name. Please refer to the BUILD file for the corresponding test name.
687072519-15133-u	This is the BUILD package path, which is bazel specific. You can have a target like a:b_test, but the actual test python file lives in a/b/c_test.py
683338945-15075-u	IMO the whole thing does become a lot more readable as code blocks like this. But the output of the code ("4" here) should be moved to a comment, like `# Returns "4"`
683014218-15063-u	Let's mention that the CLA will pop up when you create a PR. You don't need to worry about it before you get started. In fact, let's move the CLA section to *after* the \"open a PR\" section.
683014506-15063-u	Keep lines short everywhere (but keep links on a single line).\r\n\r\nRemove the extra period at the end.
717325485-15015-u	I think we should only remove the cast for sparse_categorical_crossentropy(), since the label value could be large based on the dimension of the prediction. The rest of them like binary_crossentropy or categorical_crossentropy, the label value is either one_hot or just 0 and 1, which won't be affected when casting.\r\n\r\nAlso since backend.sparse_categorical_crossentropy will cast the y_true to int64 anyway, removing the y_true cast here is correct.\r\nhttps://github.com/keras-team/keras/blob/00518dcf7f5b7de7064267979d7e9f9916e777eb/keras/backend.py#L4952
678568408-15015-u	I think you should keep this cast here, since the y_true are expect to be either `{-1, +1}` or `{0, 1}` (i.e. a one-hot-encoded tensor). See the docstring.    We probably want to fix the example in the docstring since the y_true is given in the range of 0-3.
674419279-14970-u	The ValueError needs to be tested with a test that uses `assertRaisesRegex`
674419074-14970-u	`inputs.shape[1]` can be None. The check would need to use `tf.shape(inputs)`. In fact you probably want to use https://www.tensorflow.org/api_docs/python/tf/debugging/assert_greater\r\n\r\nAlso: why `sum`?
687139781-14970-u	I think this check would be better as    if inputs.shape[1] is not None and sum(self.cropping) >= inputs.shape[1]:    You could still construct a tensor with size 0 and shape (None, None) that would cause this to crash.
687149750-14970-u	This would read clearer with format strings, and we are trying to gravitate towards more uniform error messages in keras.\r\n\r\nf'`cropping` parameter of Cropping layer must be greater than the input shape. '\r\nf'Recieved: inputs.shape={inputs.shape}, and cropping={self.cropping}'
719843062-14935-u	Application names should use camel case, e.g. `EfficientNetV2B0`
719847379-14935-u	This file should not be included in the PR. You can host in on GitHub or Colab as a way to share your workflow for creating the checkpoints.
723893701-14935-u	Moved `round_filters` and `round_repeats` outside model function.
719846696-14935-u	The signature of a public-facing Application should match the signature of every other application. Only include **kwargs for backwards compatibility with deprecated args; here there are none (since the application is new), so you should not need **kwargs.
719848616-14935-u	I'd recommend using closures for this type of Functional API block, so you can apply the block in a way that's stylistically consistent with layer calls, e.g.    ```  def Block0(...):     def apply(x):          ...          return x     return apply    x = Block0(...)(x)  ```
719848731-14935-u	This cannot default to `""`. Default to `None`.
