943736910-20115-u	This looks like a good fix, the new data makes it clearer what is going on.
776423507-20088-u	Thanks, annoying complexity here with that value-based promotion/casting :(.  An obvious fix though, since it just extends the ugly logic from above.\r\n\r\nMy only comment is to try to be a bit more clear that this helper _only_ makes sense in the context of `np.result_type`
726223544-20088-u	Maybe rename to `get_descr_from_cast_or_value`?  But not sure.
726225624-20088-u	(I am tempted to overindent the arguments, but it is probably just me who does that...)
726592422-20071-u	If these imports are unused they can be removed. The only imports that matter in the array_api are the ones in `__init__.py`.
723891106-20061-u	Maybe   ```  When both ``x1`` and ``x2`` are of an integer type, equivalent to `numpy.true_divide`  ```
723811792-20059-u	I wonder if `shutil.rmtree(output_dir, ignore_errors=True)` might be a bit more idiomatic? Avoid catching a generic `Exception`, take advantage of an API that was designed with the failure case (directory doesn't exist, etc.) in mind?
723123128-20047-u	Additionally, I think you can show that `b.flags["WRITEABLE"]` is True before this line if you think it makes sense. 
723125242-20047-u	The refguide check (and subsequently the build) is failing because it expects this:    ```  >>> b  array([3, 2, 3])  ```
770257162-20019-u	The LGTM warning is a bit nitpicky in my opinion, but the proposed change looks fine.
931337151-20004-u	The typo fixes look good, can you remove the .replit file this added? Thanks
719465719-20004-u	`atleast` is a function name, so it should not be corrected. More precisely, it turns up as `atleast_(1d|2d|3d)`
718735353-20000-u	Can you add the NumPy version in the message?  Just for completeness sake (could just be a parantheses at the end, I guess, like `(warning added in NumPy 1.22)`.  I know that most older warnings don't have it, but it is nice, I think.
718752712-19997-u	```suggestion\r\n        \"\"\")\r\n```\r\nI don't see why this dedent should be necessary?\r\n\r\nBut otherwise, I am happy if this just goes in.
719596078-19997-u	This part, which I assume leads to the doc change need, is confusing me slightly.  Anyway, I am happy with this, and OK with just putting this in as a step in the right direction in any case.  Are Pearu or Melissa following these f2py issues?
718192264-19997-u	Ooops, blind replacement doesn't always work :).    I wonder if these shouldn't be 4 spaces rather than the tab character though, we don't really use hard-tabs anywhere.
717812264-19992-u	This is a bit odd, having one blank line between methods is preferred.
929994226-19992-u	The doucumented `nagfor` option is `-unsharedrts`, not `-unsharedf95`.
717527066-19988-u	Should the other reference links be changed to include the page number?
717549385-19988-u	Most of the references have a page number, just not in the link. The argument for making the fix now is that it will otherwise slip into the background and get lost.
718104467-19978-u	It seems weird to assign `.r` to `clongdouble`? Unless you also add the `.r` on the right hand side?  The `+sizeof(npy_clongdouble)` seems just wrong?  (Would be nice to have a test that fails, but I know that is pushing it, probably...)
928372874-19977-u	I suspect `clang-tidy` might be a problem. Why not run `clang-format -i <path-to-file>` ? It gives me better results than I see here.
716924295-19969-u	I'm guessing this is a typo in the spec, since the spec never mentions None other than by the use of `Optional`. 
716753765-19957-u	I'd actually suggest including a label for the f2py main documentation page and referencing it here: \r\n\r\n```suggestion\r\nThe interface definition file (.pyf) is how you can fine-tune the interface\r\nbetween Python and Fortran. There is decent documentation for f2py at\r\n:ref:`f2py`. There is also more information on using f2py (including how to use\r\nit to wrap C codes) at the `\"Interfacing With Other Languages\" heading of the\r\nSciPy Cookbook.\r\n<https://scipy-cookbook.readthedocs.io/items/idx_interfacing_with_other_languages.html>`_\r\n```\r\n\r\nand adding `.. _f2py:` to the top of `doc/source/f2py/index.rst`\r\n
716105173-19953-u	Hmm. Don't know of one for sure, but it looks like line continuation works inside the quotes  ```  >>> """  ... Hello \  ... World  ... """  '\nHello World\n'  ```  The problem might be the indentation of the next line cannot be aligned with the opening "(", but that might not matter.
715374938-19937-u	Not critical for this PR, but `Device` is currently defined as an alias for `Any`. Based on how it's used throughout the API implementation you should be able to narrow it down to a string-literal.\r\n\r\n``` diff\r\n- Device = typing.Any\r\n+ Device = typing.Literal[\"cpu\"]\r\n```
714360584-19925-u	```suggestion\r\n```\r\nThanks, looks good, except that key is already being decref'd by the fail cleanup.
713987519-19921-u	I think we should, yes. As a safeguard against forgetfulness I would recommend placing a note though:\r\n\r\n``` diff\r\n- delimitor=...,\r\n+ # NOTE: deprecated\r\n+ # delimitor=...,  \r\n```
714008930-19921-u	It should be commented. `delimitor` is a (now-deprecated) alias for `delimiter`, a deprecation that we'd want to be treating as if it were completed in the stub file.
924488982-19921-u	I suppose considering how exotic this function is, we can likely get away with changing it.  But it will have to be a proper deprecation then: give a deprecation warning (with a test), so that we can officially remove it in two versions.\r\n\r\n> in the style of numpy.deprecate()?\r\n\r\nYou can probably ignore that...  Just give a Deprecation warning, and end on a note about the current version of NumPy (1.22).  (You can search the code for `DEPRECATED` or `DeprecationWarning`, for examples I guess).
713951638-19921-u	Might as well add the `, *,` to make this keyword only.
713996959-19921-u	See https://github.com/numpy/numpy/pull/19921#discussion_r713987519 for a suggestion.\r\nThe usual approach with annotations and deprecations is to pretend that the deprecation has already been completed, _i.e._ as if the `delimitor` parameters has been removed in this particular case.
714078544-19921-u	Unless you are tired of updating... we have to start somewhere to use the better versions for these things (`assert_deprecated` doesn't apply, this is a different file.)
714830555-19921-u	I don't think this quite works.  Suppose I used `fromtextfile("a.txt", ",")`.  Then I will get a warning.  It is a real pain to do this completely correctly (I think it requires moving to *args, and **kwargs and then a lot of manual parsing.  You might simple add to the warning string when delimiter is not None that end users can use the keyword argument delimitor=value to silence the warning, since you don't know if they really misspelled it or not.
714837019-19921-u	The only problem I see is if the user passes `delimitor=None`.  The solution to which is using `np._NoValue` rather than None?  I assume we have tests that would fail if `fromtextfile("a.txt", ",")` gave a spurious warning?
713482808-19920-u	Personally, I would prefer spelling the "is" out.  Formal written out text should not normally use `'`?  The usable surprised me, but seems like generally the more typical spelling.
713134085-19916-u	This shouldn't be needed, since with statements are in 2.7
713223961-19916-u	Feel free to tweak the wording to whatever you think drives the point home, I wasn't able to make this as a suggestion on github.
713113087-19911-u	This fix is wrong.  The work is not vacuum. It is essentially v_accum.
713114273-19911-u	Please restore all vaccum to vaccum, or possibly change to v_accum.
713263453-19911-u	I'm always weary of correcting variable names even if there is a typo, just my 2 cents here.
712259067-19903-u	I think you removed this line by accident
712305577-19893-u	Maybe "as well as the ``build_ext`` and  ``build_clib`` commands that are also ..."
712377186-19893-u	Commas around "or simply contiguous arrays".    "refer to data stored rowwise"
712404268-19893-u	"F2PY automatically generates as few ..., e.g., "
712408610-19893-u	Replace "So" by "In such cases"
712409023-19893-u	Replace "emitted" by "written"
712409633-19893-u	Replace "printed" by "written"
712410858-19893-u	Maybe a definition list?
710517390-19884-u	```suggestion\r\n```\r\nDo we even need this?  If it isn't there, presumably the `get_path` doesn't use it?
708613145-19869-u	By the looks of the array-subclass tests are also missing from the `nanmedian` test suite.  Might it be an idea to add this new test there as well?
708437326-19869-u	Thanks for checking that. If `out` isn't used it would be best to remove it and document the assumptions about how the function should be used.
707580548-19863-u	The `ids` look to be in reverse order here and below.
