708478707-2168-u	Add comments explaining what this is about, specifically calling out the device and use case
640854933-2133-u	Thx! We should actually just remove this method alltogether and use `text.encodeUtf8().sha1().hex()` (from Okio) instead
640854933-2124-u	Thx! We should actually just remove this method alltogether and use `text.encodeUtf8().sha1().hex()` (from Okio) instead
631192895-2124-u	Let's go with 23 if you don't mind.
630615552-2122-u	You could update LeakCanary.config at the beginning of the test to add a heap analysis listener (and replace config with the old version at the end of the test). You can then create a `CountDownLatch` before setting the listener. When the listener fires, count down. Then in the test before "onView" you can down a "latch.await" with 30 secs timeout (and don't forget to check the result is true)
630563788-2122-u	Fascinating. What made you stop at a depth of 7?
630567718-2122-u	Also you might want to mention the source, e.g. is this from https://stackoverflow.com/a/31028507/703646 ?    In any case it'd be great to have a bit more clarifying comments directly there for why this is there.
630564575-2122-u	Worth displaying a toast to surface the error?
630616993-2122-u	That's great! Maybe `"Could not import ${uri.lastPathSegment}, this is not an hprof file."` ?
632857016-2122-u	I do think we should reset it, yes, though I would do that at the end of the current test, and wrap the whole thing in a run / finally to make sure we reset it even on failures.
597892825-2090-u	`0 or x` is equivalent to `x`
560458865-2055-u	The proper link should be `https://square.github.io/leakcanary/fundamentals/` not `/docs/fundamentals.md`
560536592-2055-u	The issue template isn't a markdown file, the content isn't actually rendered but instead is displayed as default content for the issue description. That's why we're not using markdown for links, so here it should be: `learn the fundamentals: https://square.github.io/leakcanary/fundamentals`
549879651-2044-u	Thx! \"GitHub drops a warning about it in your Actions logs if you use ubuntu-latest\" vs \"I've switched the workflow to ubuntu-latest\" => I'm curious, why did you change it then? Sounds like you were saying it's best if we don't?\r\n\r\nI honestly don't have a ton of context so I was mostly asking questions :)
549879651-2044-u	Thx! "GitHub drops a warning about it in your Actions logs if you use ubuntu-latest" vs "I've switched the workflow to ubuntu-latest" => I'm curious, why did you change it then? Sounds like you were saying it's best if we don't?    I honestly don't have a ton of context so I was mostly asking questions :)    
546391533-2014-u	yeah ok this is cool. Replace the handler callback and delegate to it, which ensures that this stays compatible with any other code running the same hack.
546391152-2014-u	We likely want a mutableMapOf<IBinder, WeakReference<Service>> to not end up being the cause of a service leak, and maybe even a WeakHashMap<IBinder, WeakReference<Service>> (ie weak key as well because idk if we should risk retaining the IBinder either)
539541759-2012-u	Did you try without the cache first? In my experience, this cache is so slow and unreliable/inconsistent it's actually quicker and less flaky to just re-build everything. 
539546371-2012-u	I would rather inline these, since it makes this script more readable (don't have to go open another file), and it's just two lines anyway. You can use the `|` character to specify multiple lines, although both tasks could be specified in the same command.\r\n```suggestion\r\n          script: ./gradlew leakcanary-android-core:connectedCheck leakcanary-android-instrumentation:connectedCheck --stacktrace\r\n```
515456194-1984-u	I'm not sure we should return true as a default value here, instead we should probably block until the shared preferences are loaded. Which, granted, will mean IO / blocking on API 27 but heh. A simple way to do that is create a CountDownLatch(1),  call await here and countDown where we initialize shared prefs. Also, I'm not sure lateinit is volatile, if not we need to make this volatile.
516373792-1984-u	I'm not aware of the Kotlin compiler doing anything like that, let me know if you've seen otherwise.\r\n\r\n\r\nThat beeing said, yes `StrictMode.allowThreadDiskReads()` might be the most straightforward fix here.
517669360-1984-u	could this be a lazy instead? That way the strict mode change only happens once?
505579579-1973-u	Nit: Kdoc might be useful here
505587895-1973-u	Nit: please add a doc explaining all the reflection code around getting time
499726405-1958-u	Yep, seems sensible to apply the Kotlin linter suggestion.
498386134-1948-u	We probably shouldn't deprecate this because anyone using 1.3 still have to use this. Is there a way to deprecate only for Kotlin 1.4?
498397852-1948-u	Generally we've shied away from dropping compatibility support unless there's a really good reason (ie it's blocking some other work). For example, when Android X happened and created a huge migration mess, we ended up removing the direct dependency on both support lib & android X so that we wouldn't have to pick one or force people to go through a painful migration until they were ready for it. Another example is Okio where we depend on a really old version so as not to force anyone to upgrade. Generally I don't want LeakCanary's adoption to be blocked because it's forcing someone to upgrade :) .
